class	class label	textdef	rhea	ec	metacyc
GO:0102199	nitric oxide reductase activity (NAD(P)H-dependent) activity	Catalysis of the reaction: dinitrogen oxide + H2O + NAD(P) = 2 nitric oxide + H+ + NAD(P)H		EC:1.7.1.14	MetaCyc:RXN-12112
GO:0102149	farnesylcysteine lyase activity	Catalysis of the reaction: S-[(2E,6E)-farnesyl]-L-cysteine  + O2 + H2O <=> (2-trans,6-trans)-farnesal + L-cysteine  + hydrogen peroxide		EC:1.8.3.6	MetaCyc:RXN-11623
GO:0008113	peptide-methionine (S)-S-oxide reductase activity	Catalysis of the reactions: peptide-L-methionine + thioredoxin disulfide + H2O = peptide-L-methionine (S)-S-oxide + thioredoxin, and L-methionine + thioredoxin disulfide + H2O = L-methionine (S)-S-oxide + thioredoxin. Can act on oxidized methionine in peptide linkage with specificity for the S enantiomer. Thioredoxin disulfide is the oxidized form of thioredoxin.		EC:1.8.4|EC:1.8.4.11	MetaCyc:RXN-8668|MetaCyc:RXN-8669
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	Catalysis of the reaction: peptide-L-methionine + H(2)O + thioredoxin disulfide = peptide-L-methionine (R)-S-oxide + thioredoxin. Can act on oxidized methionine in peptide linkage with specificity for the R enantiomer. Thioredoxin disulfide is the oxidized form of thioredoxin.	RHEA:24164	EC:1.8.4|EC:1.8.4.12	MetaCyc:1.8.4.12-RXN
GO:0103012	ferredoxin-thioredoxin reductase activity	Catalysis of the reaction: 2 H+ + 2 a reduced ferredoxin + an oxidized thioredoxin = 2 an oxidized ferredoxin + a reduced thioredoxin		EC:1.8.7.2	MetaCyc:RXN-9944
GO:0009916	alternative oxidase activity	Catalysis of the oxidation of ubiquinol by diverting electrons from the standard electron transfer chain, transferring them from ubiquinol to oxygen and generating water as the product.			
GO:0102316	L-dopa oxidase activity	Catalysis of the reaction: L-dopa  + 0.5 O2 = L-dopaquinone  + H2O			MetaCyc:RXN-13061
GO:0102721	ubiquinol:oxygen oxidoreductase activity	Catalysis of the reaction: O2 + 2 an ubiquinol = 2 H2O + 2 an ubiquinone		EC:1.10.3.11	MetaCyc:RXN-6883
GO:0102910	dirigent protein activity	Catalysis of the reaction: 2 H+ + 2 coniferol + O2 <=> (+)-pinoresinol + 2 H2O			MetaCyc:RXN-8677
GO:0102220	hydrogenase activity (NAD+, ferredoxin)	Catalysis of the reaction: 2 dihydrogen + NAD + 2 an oxidized ferredoxin = NADH + 3 H+ + 2 a reduced ferredoxin		EC:1.12.1.4	MetaCyc:RXN-12215
GO:0010436	carotenoid dioxygenase activity	Catalysis of the oxidative cleavage of carotenoids.			
GO:0102076	beta,beta-carotene-9',10'-cleaving oxygenase activity	Catalysis of the reaction: beta-carotene + O2 <=> 10'-apo-beta-carotenal + beta-ionone		EC:1.13.11.71	MetaCyc:RXN-10741
GO:0102162	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase	Catalysis of the reaction: 8'-apo-beta,psi-caroten-8'-al + O2 <=> all-trans-retinal + 2,6-dimethylocta-2,4,6-trienedial		EC:1.13.11.75	MetaCyc:RXN-11783
GO:0102251	all-trans-beta-apo-10'-carotenal cleavage oxygenase activity	Catalysis of the reaction: 10'-apo-beta-carotenal + O2 <=> 13-apo-beta-carotenone + 4-methylocta-2,4,6-trienedial		EC:1.13.11.70	MetaCyc:RXN-12393
GO:0102299	linolenate 9R-lipoxygenase activity	Catalysis of the reaction: alpha-linolenate + O2 <=> (9R,10E,12Z,15Z)-9-hydroperoxyoctadeca-10,12,15-trienoate		EC:1.13.11.61	MetaCyc:RXN-12759
GO:0102300	linoleate 9R-lipoxygenase activity	Catalysis of the reaction: linoleate + O2 = 9(R)-HPODE		EC:1.13.11.61	MetaCyc:RXN-12760
GO:0102395	9-cis-beta-carotene 9',10'-cleavage oxygenase activity	Catalysis of the reaction: 9-cis-beta-carotene + O2 <=> 9-cis-10'-apo-beta-carotenal + beta-ionone		EC:1.13.11.68	MetaCyc:RXN-13642
GO:0102396	9-cis-10'-apo-beta-carotenal cleavage oxygenase activity	Catalysis of the reaction: 9-cis-10'-apo-beta-carotenal + 2 O2 <=> carlactone + (2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal		EC:1.13.11.69	MetaCyc:RXN-13643
GO:0102672	fatty acid alpha-oxygenase activity	Catalysis of the reaction: O2 + a 2,3,4-saturated fatty acid <=> a 2(R)-hydroperoxy fatty acid			MetaCyc:RXN-4121
GO:0102783	beta-carotene oxygenase activity	Catalysis of the reaction: beta-carotene + 2 O2 = 2 beta-ionone + 4,9-dimethyldodeca-2,4,6,8,10-pentaenedial			MetaCyc:RXN-7883
GO:0102784	lutein oxygenase activity	Catalysis of the reaction: lutein + 2 O2 = 3-hydroxy-beta-ionone + 3-hydroxy-alpha-ionone + 4,9-dimethyldodeca-2,4,6,8,10-pentaenedial			MetaCyc:RXN-7884
GO:0102785	violaxanthin oxygenase activity	Catalysis of the reaction: violaxanthin + 2 O2 = 2 5,6-epoxy-3-hydroxy-9-apo-beta-caroten-9-one + 4,9-dimethyldodeca-2,4,6,8,10-pentaenedial			MetaCyc:RXN-7886
GO:0102919	5,6-dimethylbenzimidazole synthase activity	Catalysis of the reaction: FMNH2 + O2 <=> 5,6-dimethylbenzimidazole + D-erythrose 4-phosphate + dialuric acid		EC:1.13.11.79	MetaCyc:RXN-8771
GO:0033758	clavaminate synthase activity	Catalysis of the reactions: deoxyamidinoproclavaminate + 2-oxoglutarate + O2 = amidinoproclavaminate + succinate + CO2 + H2O; proclavaminate + 2-oxoglutarate + O2 = dihydroclavaminate + succinate + CO2 + 2 H2O; and dihydroclavaminate + 2-oxoglutarate + O2 = clavaminate + succinate + CO2 + 2 H2O.		EC:1.14.11.21	MetaCyc:1.14.11.21-RXN
GO:0033761	mugineic-acid 3-dioxygenase activity	Catalysis of the reactions: mugineic acid + 2-oxoglutarate + O2 = 3-epihydroxymugineic acid + succinate + CO2.	RHEA:14509	EC:1.14.11.25	MetaCyc:RXN-7982
GO:0043734	DNA-N1-methyladenine dioxygenase activity	Catalysis of the oxidative demethylation of N1-methyladenine and N3-methylcytosine in DNA, with concomitant decarboxylation of 2-oxoglutarate and releases oxidized methyl group on N1-methyladenine and N3-methylcytosine as formaldehyde.		EC:1.14.11	
GO:0045544	gibberellin 20-oxidase activity	Catalysis of the oxidation of C-20 gibberellins to form the corresponding C-19 lactones.			
GO:0102111	gibberellin A20,2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A20 + 2-oxoglutarate + O2 <=> gibberellin A29 + succinate + carbon dioxide			MetaCyc:RXN-113
GO:0102113	hypoxia-inducible factor-asparagine oxygenase activity	Catalysis of the reaction: 2-oxoglutarate + O2 + a hypoxia inducible factor (HIF) alpha subunit = succinate + carbon dioxide + a (3S)-3-hydroxy-L-asparagine-HIF alpha subunit		EC:1.14.11.30	MetaCyc:RXN-11321
GO:0102312	4-coumaroyl 2'-hydroxylase activity	Catalysis of the reaction: 4-coumaryl-CoA + 2-oxoglutarate + O2 <=> 2,4-dihydroxycinnamoyl-CoA + succinate + carbon dioxide			MetaCyc:RXN-12963
GO:0102494	GA20 2,3-desaturase activity	Catalysis of the reaction: gibberellin A20 + O2 + a reduced electron acceptor <=> gibberellin A5 + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-14317
GO:0102495	GA5 3beta-hydroxylase activity	Catalysis of the reaction: gibberellin A5 + O2 + 2-oxoglutarate <=> gibberellin A3 + succinate + carbon dioxide			MetaCyc:RXN-14318
GO:0102496	GA5 2,3 epoxidase activity	Catalysis of the reaction: gibberellin A5 + O2 + 2-oxoglutarate <=> gibberellin A6 + succinate + carbon dioxide			MetaCyc:RXN-14327
GO:0102525	2-oxoglutarate, L-arginine oxygenase (succinate-forming) activity	Catalysis of the reaction: L-argininium(1+) + 2-oxoglutarate + O2 = (3S)-3-hydroxy-L-arginine(1+) + succinate + carbon dioxide		EC:1.14.11.41	MetaCyc:RXN-14542
GO:0102569	FR-33289 synthase activity	Catalysis of the reaction: FR-900098 + 2-oxoglutarate(2-) + O2 <=> FR-33289 + succinate(2-) + carbon dioxide			MetaCyc:RXN-15082
GO:0102652	gibberellin A9,2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A9 + 2-oxoglutarate + O2 <=> gibberellin A51 + succinate + carbon dioxide			MetaCyc:RXN-171
GO:0102653	gibberellin A51,2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A51 + 2-oxoglutarate + O2 <=> H+ + gibberellin A51-catabolite + succinate + carbon dioxide + H2O			MetaCyc:RXN-172
GO:0102663	gibberellin A34,2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A34 + 2-oxoglutarate + O2 <=> H+ + gibberellin A34-catabolite + succinate + carbon dioxide + H2O			MetaCyc:RXN-292
GO:0102711	gibberellin A25,oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A25 + 2-oxoglutarate + O2 <=> gibberellin A13 + succinate + carbon dioxide			MetaCyc:RXN-6541
GO:0102712	gibberellin A13,oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A13 + 2-oxoglutarate + O2 <=> gibberellin A43 + succinate + carbon dioxide			MetaCyc:RXN-6542
GO:0102713	gibberellin A25 hydroxylase activity	Catalysis of the reaction: gibberellin A25 + 2-oxoglutarate(2-) + O2 <=> gibberellin A46 + succinate(2-) + carbon dioxide			MetaCyc:RXN-6543
GO:0102714	gibberellin A12,oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A12 + 2-oxoglutarate + O2 <=> gibberellin A14 + succinate + carbon dioxide			MetaCyc:RXN-6544
GO:0102715	gibberellin A17,oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A17 + 2-oxoglutarate + O2 <=> gibberellin A28 + succinate + carbon dioxide			MetaCyc:RXN-6546
GO:0102716	gibberellin A28,oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A28 + 2-oxoglutarate + O2 <=> (2betaOH)-gibberellin28 + succinate + carbon dioxide			MetaCyc:RXN-6547
GO:0102738	(gibberellin-14), 2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A14 + O2 + 2-oxoglutarate <=> gibberellin A37 + carbon dioxide + succinate			MetaCyc:RXN-7589
GO:0102739	(gibberellin-36), 2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A36 + O2 + 2-oxoglutarate <=> H+ + gibberellin A4 + succinate + 2 carbon dioxide			MetaCyc:RXN-7591
GO:0102755	gibberellin-15(closed lactone form),2-oxoglutarate:oxygen oxidoreductase (3beta-hydroxylating) activity	Catalysis of the reaction: gibberellin A15 (closed lactone form) + O2 + 2-oxoglutarate = gibberellin A37 (closed lactone form) + succinate + carbon dioxide			MetaCyc:RXN-7680
GO:0102768	anthocyanidin synthase activity	Catalysis of the reaction: flavan-3,3',4,4',5,5',7-heptol + O2 + 2-oxoglutarate = H+ + delphinidin + 2 H2O + carbon dioxide + succinate			MetaCyc:RXN-7785
GO:0102802	thebaine 6-O-demethylase activity	Catalysis of the reaction: thebaine + 2-oxoglutarate + O2 <=> neopinone + formaldehyde + succinate + carbon dioxide		EC:1.14.11.31	MetaCyc:RXN-8147
GO:0102803	thebane O-demethylase activity	Catalysis of the reaction: thebaine + 2-oxoglutarate + O2 <=> oripavine + formaldehyde + succinate + carbon dioxide		EC:1.14.11.32	MetaCyc:RXN-8149
GO:0102804	oripavine 6-O-demethylase activity	Catalysis of the reaction: oripavine + 2-oxoglutarate + O2 <=> morphinone + formaldehyde + succinate + carbon dioxide		EC:1.14.11.31	MetaCyc:RXN-8151
GO:0102805	codeine O-demethylase activity	Catalysis of the reaction: codeine + 2-oxoglutarate + O2 <=> morphine + formaldehyde + succinate + carbon dioxide		EC:1.14.11.32	MetaCyc:RXN-8152
GO:0102924	gibberellin A44,2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: 2 H+ + gibberellin A44 + 2-oxoglutarate + O2 = gibberellin A98 + succinate + carbon dioxide			MetaCyc:RXN-886
GO:0102972	gibberellin A12,2-oxoglutarate:oxygen oxidoreductase activity (gibberellin A110-forming)	Catalysis of the reaction: gibberellin A12 + 2-oxoglutarate + O2 = gibberellin A110 + succinate + carbon dioxide			MetaCyc:RXN-947
GO:0103008	4-chloro-2-methylphenoxyacetate oxygenase activity	Catalysis of the reaction: 4-chloro-2-methylphenoxyacetate + 2-oxoglutarate + O2 <=> 4-chloro-2-methylphenol + 2-oxo monocarboxylic acid anion + succinate + carbon dioxide			MetaCyc:RXN-9864
GO:0103010	gibberellin A53,2-oxoglutarate:oxygen oxidoreductase activity (GA97-forming)	Catalysis of the reaction: gibberellin A53 + 2-oxoglutarate + O2 = gibberellin A97 + succinate + carbon dioxide			MetaCyc:RXN-991
GO:0103051	N1-methyladenine demethylase activity	Catalysis of the reaction: 1-methyladenine + O2 + 2-oxoglutarate <=> adenine + carbon dioxide + formaldehyde + succinate			MetaCyc:RXN0-984
GO:0103052	N3-methylcytosine demethylase activity	Catalysis of the reaction: N3-methylcytosine + O2 + 2-oxoglutarate <=> H+ + cytosine + carbon dioxide + formaldehyde + succinate			MetaCyc:RXN0-985
GO:0103053	1-ethyladenine demethylase activity	Catalysis of the reaction: 1-ethyladenine + O2 + 2-oxoglutarate(2-) <=> adenine + carbon dioxide + acetaldehyde + succinate		EC:1.14.11.33	MetaCyc:RXN0-986
GO:0103054	gibberellin A12, 2-oxoglutarate:oxygen oxidoreductase activity (gibberellin A15-forming)	Catalysis of the reaction: gibberellin A12 + O2 + 2-oxoglutarate <=> gibberellin A15 + carbon dioxide + succinate			MetaCyc:RXN1F-162
GO:0103055	gibberelli A15, 2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A15 + 2-oxoglutarate + O2 <=> gibberellin A24 + succinate + carbon dioxide + H2O			MetaCyc:RXN1F-163
GO:0103056	gibberellin A53, 2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A53 + O2 + 2-oxoglutarate <=> gibberellin A44 diacid + carbon dioxide + succinate			MetaCyc:RXN1F-167
GO:0103057	gibberellin A19, 2-oxoglutarate:oxygen oxidoreductase activity	Catalysis of the reaction: gibberellin A19 + O2 + 2-oxoglutarate <=> H+ + gibberellin A20 + 2 carbon dioxide + succinate			MetaCyc:RXN1F-169
GO:0102044	3-chlorobenzoate-4,5-oxygenase activity	Catalysis of the reaction: 3-chlorobenzoate + O2 + a reduced electron acceptor <=> 3-chlorobenzoate-cis-4,5-diol + an oxidized electron acceptor			MetaCyc:RXN-10421
GO:0102045	3-chlorobenzoate-3,4-oxygenase activity	Catalysis of the reaction: 3-chlorobenzoate + O2 + a reduced electron acceptor <=> 3-chlorobenzoate-cis-3,4-diol + an oxidized electron acceptor			MetaCyc:RXN-10422
GO:0102046	3,4-dichlorobenzoate-4,5-oxygenase activity	Catalysis of the reaction: 3,4-dichlorobenzoate + O2 + a reduced electron acceptor <=> 3,4-dichlorobenzoate-cis-4,5-diol + an oxidized electron acceptor			MetaCyc:RXN-10427
GO:0000249	C-22 sterol desaturase activity	Catalysis of the formation of the C-22(23) double bond in the sterol side chain. An example reaction: 5,7,24(28)-ergostatrienol + O2 + NADPH = 5,7,22,24(28)-ergostatetraenol + 2 H2O + NADP+.			
GO:0102430	alpha-linolenate Delta5 desaturase activity	Catalysis of the reaction: alpha-linolenate + O2 + a reduced electron acceptor = coniferonate + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-13857
GO:0102431	linoleate Delta5 desaturase activity	Catalysis of the reaction: linoleate + O2 + a reduced electron acceptor = pinolenate + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-13858
GO:0102654	1-18:1-2-16:0-phosphatidylglycerol trans-3 desaturase activity	Catalysis of the reaction: 1-[(9Z)-octadec-9-enoyl]-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)(1-) + O2 + a reduced electron acceptor <=> 1-18:1-2-trans-16:1-phosphatidylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-1725
GO:0102655	1-18:1-2-trans-16:1-phosphatidylglycerol desaturase activity	Catalysis of the reaction: 1-18:1-2-trans-16:1-phosphatidylglycerol + O2 + a reduced electron acceptor <=> 1-18:2-2-trans-16:1-phosphatidylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-1726
GO:0102656	1-18:2-2-trans-16:1-phosphatidylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-trans-16:1-phosphatidylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-trans-16:1-phosphatidylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-1727
GO:0102657	1-18:1-2-16:0-monogalactosyldiacylglycerol palmitoyl-lipid 7-desaturase activity	Catalysis of the reaction: 1-18:1-2-16:0-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor = 1-18:1-2-16:1-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-1728
GO:0102676	avenasterol-desaturase activity	Catalysis of the reaction: avenasterol + O2 + NADPH + H+ <=> 5-dehydroavenasterol + 2 H2O + NADP			MetaCyc:RXN-4209
GO:0102786	stearoyl-[acp] desaturase activity	Catalysis of the reaction: O2 + a stearoyl-[acp] + a reduced ferredoxin = 2 H2O + an oleoyl-[acp] + an oxidized ferredoxin		EC:1.14.19.2	MetaCyc:RXN-7903
GO:0102834	1-18:1-2-16:0-monogalactosyldiacylglycerol acyl-lipid omega-6 desaturase activity	Catalysis of the reaction: 1-18:1-2-16:0-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:2-2-16:0-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8294
GO:0102835	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-16:0-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:0-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8295
GO:0102836	1-18:1-2-16:1-monogalactosyldiacylglyceroldesaturase activity	Catalysis of the reaction: 1-18:1-2-16:1-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8296
GO:0102837	1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-16:1-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:1-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8297
GO:0102838	1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:1-2-16:2-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8298
GO:0102839	1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-16:2-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:2-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8299
GO:0102840	1-18:2-2-16:3-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-16:3-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:3-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8301
GO:0102841	1-18:1-2-16:2-monogalactosyldiacylglycerol synthase activity	Catalysis of the reaction: 1-18:1-2-16:1-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:1-2-16:2-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8302
GO:0102842	1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase activity (Sn2-16:3 forming	Catalysis of the reaction: 1-18:1-2-16:2-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor = 1-18:1-2-16:3-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8303
GO:0102843	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase activity (Sn2-16:1 forming)	Catalysis of the reaction: 1-18:2-2-16:0-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor = 1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8304
GO:0102844	1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase activity (Sn2-16:2 forming)	Catalysis of the reaction: 1-18:2-2-16:1-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor = 1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8305
GO:0102845	1-18:3-2-16:0-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:3-2-16:0-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:1-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8307
GO:0102846	1-18:3-2-16:1-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:3-2-16:1-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:2-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8308
GO:0102847	1-18:3-2-16:2-monogalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:3-2-16:2-monogalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-16:3-monogalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8309
GO:0102848	1-18:2-2-18:2-digalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-18:2-digalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-18:2-digalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8310
GO:0102849	1-18:2-2-18:3-digalactosyldiacylglycerol desaturase activity	Catalysis of the reaction: 1-18:2-2-18:3-digalactosyldiacylglycerol + O2 + a reduced electron acceptor <=> 1-18:3-2-18:3-digalactosyldiacylglycerol + 2 H2O + an oxidized electron acceptor			MetaCyc:RXN-8314
